country code,country_long,name of powerplant,capacity in MW,latitude,longitude,primary_fuel,secondary fuel,other_fuel2,other_fuel3,start date,owner of plant,generation_gwh_2021,geolocation_source,estimated_generation_gwh_2021
USA,United States of America,12 Applegate Solar LLC,1.9,40.2003,-74.5761,Solar,,,,2012.0,G&S Solar Installers LLC,2.349,U.S. Energy Information Administration,2.92
USA,United States of America,126 Grove Solar LLC,2.0,42.0761,-71.4227,Solar,,,,2012.0,126 Grove Solar LLC,2.303,U.S. Energy Information Administration,3.01
USA,United States of America,1420 Coil Av #C,1.3,33.7943,-118.2414,Solar,,,,2011.0,Konoike Pacific,1.78101,U.S. Energy Information Administration,2.45
USA,United States of America,145 Talmadge Solar,3.8,40.5358,-74.3913,Solar,,,,2011.0,Avidan Energy Solutions,5.01,U.S. Energy Information Administration,5.84
USA,United States of America,158th Fighter Wing Solar Farm,1.3,44.4777,-73.1534,Solar,,,,2011.0,158th Fighter Wing,1.52,U.S. Energy Information Administration,1.69
USA,United States of America,180 Raritan Solar,1.9,40.5161,-74.34,Solar,,,,2012.0,180 Raritan Energy Solutions  LLC,2.659,U.S. Energy Information Administration,2.91
USA,United States of America,2555 E Olympic Bl,1.0,34.0269,-118.2242,Solar,,,,2012.0,Los Angeles Department of Water & Power,1.252,U.S. Energy Information Administration,1.83
USA,United States of America,350 Clark Solar  NG  LLC,1.8,40.8942,-74.7302,Solar,,,,2011.0,350 Clark Solar NG  LLC,1.98,U.S. Energy Information Administration,2.71
USA,United States of America,4 Applegate Solar LLC,1.8,40.1964,-74.5836,Solar,,,,2012.0,G&S Solar Installers LLC,2.056,U.S. Energy Information Administration,2.77
USA,United States of America,433 Purchase Solar NG  LLC,2.5,41.8094,-71.1922,Solar,,,,2012.0,433 Purchase Solar NG  LLC,3.704,U.S. Energy Information Administration,3.8
USA,United States of America,45 Mile Hydroelectric Project,3.0,44.5281,-121.1528,Hydro,,,,2015.0,EBD Hydro LLC,5.324,U.S. Energy Information Administration,6.48
USA,United States of America,500 Virginia Solar,1.0,40.1392,-75.1917,Solar,,,,2011.0,500 Virginia Solar  LP,1.029,U.S. Energy Information Administration,1.51
USA,United States of America,85 A,14.1,35.1011,-118.3372,Wind,,,,1985.0,Tehachapi Wind Wall  LLC,12.194,U.S. Energy Information Administration,18.01
USA,United States of America,85 B,21.2,35.1011,-118.3372,Wind,,,,1985.0,Tehachapi Wind Wall  LLC,16.181,U.S. Energy Information Administration,21.49
USA,United States of America,99 Islands,12.0,35.0314,-81.4936,Hydro,,,,1910.0,Duke Energy Carolinas  LLC,67.604,U.S. Energy Information Administration,63.32
USA,United States of America,A G Wishon,12.8,37.151,-119.5047,Hydro,,,,1910.0,Pacific Gas & Electric Co.,52.855,U.S. Energy Information Administration,43.91
USA,United States of America,AFA Solar Farm,5.5,38.9579,-104.8066,Solar,,,,2011.0,Solar Star Colorado II LLC,11.093,U.S. Energy Information Administration,9.59
USA,United States of America,AMP Napoleon Solar Facility,3.5,41.4067,-84.1108,Solar,,,,2012.0,American Mun Power-Ohio  Inc,4.409,U.S. Energy Information Administration,4.38
USA,United States of America,ASTI,1.0,38.7614,-122.9753,Solar,,,,2009.0,Perpetual Energy Systems,1.275,U.S. Energy Information Administration,1.43
USA,United States of America,Abbott TP 3,2.8,29.594,-98.0407,Hydro,,,,1927.0,Guadalupe Blanco River Authority,12.367,U.S. Energy Information Administration,9.0
USA,United States of America,Abiquiu Dam,15.6,36.2399,-106.423,Hydro,,,,1993.230769,Los Alamos County,19.7,U.S. Energy Information Administration,45.72
USA,United States of America,Actus Lend Lease DMAFB,3.0,32.1825,-110.8633,Solar,,,,2010.0,Tesla Inc.,3.792,U.S. Energy Information Administration,6.28
USA,United States of America,Acushnet AD Makepeace,4.7,41.7989,-70.7436,Solar,,,,2012.0,Ahana Renewables  LLC,5.398,U.S. Energy Information Administration,7.68
USA,United States of America,Acushnet Hawes Reed Road,1.0,41.6622,-71.0425,Solar,,,,2012.0,Ahana Renewables  LLC,1.73,U.S. Energy Information Administration,1.62
USA,United States of America,Ada Dam,1.4,42.9506,-85.4859,Hydro,,,,1984.0,STS Hydropower  LLC,6.218,U.S. Energy Information Administration,4.98
USA,United States of America,Adair Wind Farm,174.8,41.4236,-94.665,Wind,,,,2009.0,MidAmerican Energy Co,393.032,U.S. Energy Information Administration,596.75
USA,United States of America,Adams Ave MS and HS,3.1,39.4114,-74.5309,Solar,,,,2011.580645,GSRP,4.673,U.S. Energy Information Administration,4.89
USA,United States of America,Adams Wind Farm,23.3,43.5548,-92.7241,Wind,,,,2003.420601,Consolidated Edison Development Inc.,45.609,U.S. Energy Information Administration,71.49
USA,United States of America,Adams Wind Generations LLC,20.0,44.9169,-94.7356,Wind,,,,2011.0,BEAM US  LLC,55.319,U.S. Energy Information Administration,76.24
USA,United States of America,Adelanto Solar Project,10.0,34.5508,-117.4353,Solar,,,,2012.0,Los Angeles Department of Water & Power,12.751,U.S. Energy Information Administration,21.3
USA,United States of America,Aeolus Wind Facility,3.0,36.4725,-101.3278,Wind,,,,2004.0,Aeolus Wind LLC,6.102,U.S. Energy Information Administration,8.65
USA,United States of America,Aerojet I,3.0,38.6135,-121.1629,Solar,,,,2010.0,Altus Power America Management  LLC,5.923,U.S. Energy Information Administration,6.35
USA,United States of America,Aerojet II,2.7,38.6086,-121.1703,Solar,,,,2010.0,Altus Power America Management  LLC,3.994,U.S. Energy Information Administration,5.66
USA,United States of America,Agassiz Beach LLC,1.9,47.0053,-96.4356,Wind,,,,2001.0,CHI Operations Inc,3.893,U.S. Energy Information Administration,5.02
USA,United States of America,Agawam Solar,1.5,42.0819,-72.6144,Solar,,,,2012.0,Citizens Enterprises Corporation,2.066,U.S. Energy Information Administration,2.05
USA,United States of America,Agriwind,8.4,41.3017,-89.6236,Wind,,,,2007.0,AgriWind Project  LLC,15.456,U.S. Energy Information Administration,19.56
USA,United States of America,Ainsworth Wind,59.4,42.4489,-99.8917,Wind,,,,2005.0,Nebraska Public Power District,127.261,U.S. Energy Information Administration,194.01
USA,United States of America,Airport 1 Solar (DIA),1.5,39.8994,-104.6753,Solar,,,,2010.0,Greenbacker Renewable Energy Corporation,2.555,U.S. Energy Information Administration,2.79
USA,United States of America,Alamo,19.6,34.8158,-118.6867,Hydro,,,,1986.0,California Dept. of Water Resources,63.01,U.S. Energy Information Administration,50.91
USA,United States of America,Alamogordo Solar Energy Center,5.0,32.8657,-105.9998,Solar,,,,2011.0,PNM Resources,11.031,U.S. Energy Information Administration,10.36
USA,United States of America,Albeni Falls,42.0,48.1802,-116.9986,Hydro,,,,1955.0,USACE Northwestern Division,182.794,U.S. Energy Information Administration,187.54
USA,United States of America,Albuquerque Solar Energy Center,2.0,35.169,-106.6,Solar,,,,2011.0,PNM Resources,4.173,U.S. Energy Information Administration,4.14
USA,United States of America,Alcona,8.0,44.562,-83.8045,Hydro,,,,1924.0,Consumers Energy Co,33.312,U.S. Energy Information Administration,31.77
USA,United States of America,Alcova,41.4,42.5484,-106.7175,Hydro,,,,1955.0,U S Bureau of Reclamation,92.587,U.S. Energy Information Administration,129.46
USA,United States of America,Alder,50.0,46.8016,-122.3102,Hydro,,,,1946.5,City of Tacoma - (WA),142.707,U.S. Energy Information Administration,146.11
USA,United States of America,Alethea I,2.8,40.0006,-74.735,Solar,,,,2011.0,Syncarpha Alethea I  LLC,3.86,U.S. Energy Information Administration,4.35
USA,United States of America,Alexander,4.2,45.1875,-89.7553,Hydro,,,,1925.0,Wisconsin Public Service Corp,29.103,U.S. Energy Information Administration,16.04
USA,United States of America,Alice Falls Hydro Project,2.1,44.5192,-73.4648,Hydro,,,,1991.0,Alice Falls Hydro  LLC,5.732,U.S. Energy Information Administration,7.17
USA,United States of America,Allatoona,86.6,34.1637,-84.7282,Hydro,,,,1950.0,USCE-Mobile District,192.552,U.S. Energy Information Administration,310.0
USA,United States of America,Allegan Dam,2.6,42.5638,-85.954,Hydro,,,,1939.615385,Consumers Energy Co,13.951,U.S. Energy Information Administration,10.18
USA,United States of America,Allegheny Hydro No 8,13.6,40.8966,-79.479,Hydro,,,,1991.0,Allegheny Hydro LP,101.315,U.S. Energy Information Administration,59.37
USA,United States of America,Allegheny Hydro No 9,17.8,40.956,-79.5507,Hydro,,,,1991.0,Allegheny Hydro LP,122.274,U.S. Energy Information Administration,77.57
USA,United States of America,Allegheny No 6 Hydro Station,9.2,40.7164,-79.5772,Hydro,,,,1988.0,All Dams Generation  LLC,41.92,U.S. Energy Information Administration,43.5
USA,United States of America,Allegheny No. 5 Hydro Station,9.2,40.6829,-79.6653,Hydro,,,,1988.0,All Dams Generation  LLC,41.401,U.S. Energy Information Administration,32.88
USA,United States of America,Allegheny Ridge Wind Farm,80.0,40.3839,-78.5794,Wind,,,,2007.0,Leeward Asset Management  LLC,194.116,U.S. Energy Information Administration,251.27
USA,United States of America,Allendorf,3.8,43.4,-95.6333,Wind,,,,2000.631579,E&E Enterprises LLC,1.472,U.S. Energy Information Administration,10.39
USA,United States of America,Allens Falls,4.0,44.6603,-74.8603,Hydro,,,,1927.0,Erie Boulevard Hydropower LP,27.274,U.S. Energy Information Administration,8.97
USA,United States of America,Allison Creek Hydro,6.5,61.0844,-146.3533,Hydro,,,,2016.0,Copper Valley Elec Assn  Inc,19.135,U.S. Energy Information Administration,17.22
USA,United States of America,Alta Powerhouse,1.0,39.216,-120.8036,Hydro,,,,1902.0,Pacific Gas & Electric Co.,3.401,U.S. Energy Information Administration,2.21
USA,United States of America,Alta Wind Energy Center I,150.0,35.0337,-118.3534,Wind,,,,2011.0,NRG Yield LLC,366.019,U.S. Energy Information Administration,439.46
USA,United States of America,Alta Wind Energy Center II,150.0,35.0239,-118.2953,Wind,,,,2011.0,NRG Yield LLC,366.72,U.S. Energy Information Administration,464.99
USA,United States of America,Alta Wind Energy Center III,150.0,35.0239,-118.2953,Wind,,,,2011.0,NRG Yield LLC,261.255,U.S. Energy Information Administration,464.99
USA,United States of America,Alta Wind Energy Center IV,102.0,35.0086,-118.2422,Wind,,,,2011.0,NRG Yield LLC,150.299,U.S. Energy Information Administration,318.18
USA,United States of America,Alta Wind Energy Center V,168.0,35.0086,-118.2422,Wind,,,,2011.0,NRG Yield LLC,311.896,U.S. Energy Information Administration,478.49
USA,United States of America,Alta Wind VIII,150.0,35.0267,-118.2348,Wind,,,,2012.0,Brookfield Renewable Trading and Marketing LP,237.117,U.S. Energy Information Administration,422.63
USA,United States of America,Altech III,25.1,33.915,-116.5551,Wind,,,,1985.864542,Terra-Gen Operating Co-Wind,4.982,U.S. Energy Information Administration,35.31
USA,United States of America,Amazon,4.2,40.5664,-74.2214,Solar,,,,2012.0,CVI CleanCapital Solar 4 LLC,5.671,U.S. Energy Information Administration,6.49
USA,United States of America,American Falls,92.4,42.7778,-112.8764,Hydro,,,,1978.0,Idaho Power Co,382.537,U.S. Energy Information Administration,337.93
USA,United States of America,Ames Hydro,3.6,37.866,-107.8831,Hydro,,,,1906.0,Public Service Co of Colorado,3.398,U.S. Energy Information Administration,11.45
USA,United States of America,Amistad Dam & Power,66.0,29.4498,-101.0601,Hydro,,,,1983.0,International Bound & Wtr Comm,96.244,U.S. Energy Information Administration,257.97
USA,United States of America,Amoskeag,16.0,43.0022,-71.4721,Hydro,,,,1922.75,Central Rivers Power NH  LLC,90.765,U.S. Energy Information Administration,61.78
USA,United States of America,Anchor Wind  LLC,6.0,41.8508,-91.2342,Wind,,,,2012.0,Acciona Energy USA Global  LLC,11.188,U.S. Energy Information Administration,19.9
USA,United States of America,Anderson Ranch,40.0,43.3571,-115.4515,Hydro,,,,1951.0,U S Bureau of Reclamation,126.064,U.S. Energy Information Administration,115.98
USA,United States of America,Androscoggin 3,3.6,44.1353,-70.2015,Hydro,,,,1928.0,Brookfield White Pine Hydro LLC,0.0,U.S. Energy Information Administration,15.9
USA,United States of America,Angels,1.4,38.0719,-120.5394,Hydro,,,,1940.0,Utica Water & Power Authority,6.387,U.S. Energy Information Administration,3.03
USA,United States of America,Annex Creek,4.0,58.3176,-134.101,Hydro,,,,1916.0,Alaska Electric Light&Power Co,26.761,U.S. Energy Information Administration,16.77
USA,United States of America,Anson Abenaki Hydros,29.0,44.7975,-69.8867,Hydro,,,,1980.937931,Eagle Creek RE LLC,129.871,U.S. Energy Information Administration,111.59
USA,United States of America,Apalachia,93.6,35.1677,-84.2956,Hydro,,,,1943.0,Tennessee Valley Authority,493.037,U.S. Energy Information Administration,336.64
USA,United States of America,Apex Solar PV Power Project,20.0,36.39,-114.97,Solar,,,,2012.0,Southern Power Co,51.306,U.S. Energy Information Administration,43.65
USA,United States of America,Apple River,2.4,45.1576,-92.7162,Hydro,,,,1901.0,Northern States Power Co - Minnesota,12.461,U.S. Energy Information Administration,7.33
USA,United States of America,Appleton,2.2,44.2539,-88.4096,Hydro,,,,1950.909091,Wisconsin Electric Power Co,6.82,U.S. Energy Information Administration,9.04
USA,United States of America,Aqua Ingrams Mill,1.0,39.9647,-75.6578,Solar,,,,2010.0,Aqua America Inc,1.346,U.S. Energy Information Administration,1.54
USA,United States of America,Aragonne Wind LLC,90.0,34.8147,-105.0108,Wind,,,,2007.0,Leeward Asset Management  LLC,282.408,U.S. Energy Information Administration,297.93
USA,United States of America,Ararat Rock Solar  LLC,3.5,36.4611,-80.6006,Solar,,,,2012.0,Oppidum Renewables USA  LLC,5.508,U.S. Energy Information Administration,5.42
USA,United States of America,Arizona Western College PV,4.7,32.6878,-114.4961,Solar,,,,2011.851064,Main Street Power,8.165,U.S. Energy Information Administration,8.36
USA,United States of America,Arlington Outlet Hydroelectric Generator,1.3,32.6391,-97.2429,Hydro,,,,2015.0,Tarrant Regional Water District,1.49886,U.S. Energy Information Administration,2.91
USA,United States of America,Arlington Wind Power Project,103.0,45.7167,-120.2008,Wind,,,,2009.0,Arlington Wind Power Project LLC,189.718,U.S. Energy Information Administration,273.96
USA,United States of America,Armenia Mountain Wind Farm,100.5,41.7619,-76.8553,Wind,,,,2010.0,Allete Clean Energy,232.584,U.S. Energy Information Administration,319.98
USA,United States of America,Arndt Farm,5.0,35.7792,-81.1756,Solar,,,,2012.0,Strata Fund 2 Lessee LLC,8.909,U.S. Energy Information Administration,8.1
USA,United States of America,Arpin Dam,1.4,45.7517,-91.2028,Hydro,,,,1971.285714,Renewable World Energies LLC,8.266,U.S. Energy Information Administration,5.95
USA,United States of America,Arrowrock Hydroelectric Project,15.0,43.595,-115.9233,Hydro,,,,2010.0,Boise-Kuna Irrigation District,59.677,U.S. Energy Information Administration,53.45
USA,United States of America,Ashokan,4.6,41.949,-74.2063,Hydro,,,,1982.0,New York Power Authority,10.437,U.S. Energy Information Administration,15.38
USA,United States of America,Ashtabula Wind Energy Center,48.0,47.1244,-97.8961,Wind,,,,2008.0,Otter Tail Power Co,139.342,U.S. Energy Information Administration,152.19
USA,United States of America,Ashtabula Wind II LLC,120.0,47.2924,-97.9317,Wind,,,,2009.0,Ashtabula Wind II LLC,353.744,U.S. Energy Information Administration,382.76
USA,United States of America,Ashtabula Wind III LLC,62.4,47.1242,-97.8956,Wind,,,,2011.0,Ashtabula Wind III LLC,198.904,U.S. Energy Information Administration,220.21
USA,United States of America,Ashton,6.7,44.0786,-111.4973,Hydro,,,,1921.776119,PacifiCorp,39.649,U.S. Energy Information Administration,21.86
USA,United States of America,Atlantic City Convention Center,2.0,39.3639,-74.4408,Solar,,,,2009.0,Constellation Solar New Jersey  LLC,3.117,U.S. Energy Information Administration,3.08
USA,United States of America,Atlantic Coast Freezers Solar Facility,2.2,39.5199,-75.029,Solar,,,,2012.0,CVI CleanCapital Solar 4 LLC,3.238,U.S. Energy Information Administration,3.41
USA,United States of America,Auglaize Hydro,3.6,41.2372,-84.3998,Hydro,,,,1996.111111,City of Bryan - (OH),12.116,U.S. Energy Information Administration,13.08
USA,United States of America,Austin,18.0,30.2934,-97.7844,Hydro,,,,1940.0,Lower Colorado River Authority,37.665,U.S. Energy Information Administration,47.56
USA,United States of America,Autumn Hills LLC,1.9,44.4131,-96.4325,Wind,,,,2001.0,CHI Operations Inc,3.231,U.S. Energy Information Administration,5.56
USA,United States of America,Avalon Hydropower,1.2,36.4237,-79.9525,Hydro,,,,1998.0,Avalon Hydropower LLC,5.687,U.S. Energy Information Administration,3.56
USA,United States of America,Avenal Park,6.0,35.9897,-120.11,Solar,,,,2011.0,Avenal Solar Holdings LLC,10.326,U.S. Energy Information Administration,12.91
USA,United States of America,Axio Green LLC,2.0,42.5761,-72.61,Solar,,,,2012.0,Axio Green LLC,2.327,U.S. Energy Information Administration,2.32
USA,United States of America,Ayers Island,8.4,43.5978,-71.7177,Hydro,,,,1925.0,Central Rivers Power NH  LLC,49.55,U.S. Energy Information Administration,27.92
USA,United States of America,Aziscohos Hydroelectric Project,6.7,44.9439,-70.9975,Hydro,,,,1988.0,Brookfield White Pine Hydro LLC,33.639,U.S. Energy Information Administration,15.09
USA,United States of America,Azusa,3.0,34.1548,-117.9093,Hydro,,,,1949.0,City of Pasadena - (CA),0.0,U.S. Energy Information Administration,6.22
USA,United States of America,B&K Energy Systems LLC,2.0,43.6514,-95.3755,Wind,,,,2004.0,Brewster,0.892,U.S. Energy Information Administration,6.55
USA,United States of America,BBB Corporate Headquarters,1.0,40.6972,-74.305,Solar,,,,2010.0,Bed Bath & Beyond,1.393,U.S. Energy Information Administration,1.55
USA,United States of America,BC Energy LLC,4.0,43.6183,-95.4253,Wind,,,,2008.0,Ewington Wind Project,12.111,U.S. Energy Information Administration,13.29
USA,United States of America,Bad Creek,1296.0,35.0075,-82.9975,Hydro,,,,1991.0,Duke Energy Carolinas  LLC,-576.744,U.S. Energy Information Administration,3476.26
USA,United States of America,Baker Creek Hydroelectric,1.5,40.5264,-123.7256,Hydro,,,,2014.0,Baker Station Associates  LP,1.01,U.S. Energy Information Administration,4.89
USA,United States of America,Bakersfield College Solar 01,1.1,35.4118,-118.9686,Solar,,,,2010.0,Kern Community College District,0.0,U.S. Energy Information Administration,2.09
USA,United States of America,Balch 1,31.0,36.9091,-119.0877,Hydro,,,,1927.0,Pacific Gas & Electric Co.,163.231,U.S. Energy Information Administration,76.22
USA,United States of America,Balch 2,97.2,36.9089,-119.0876,Hydro,,,,1958.5,Pacific Gas & Electric Co.,581.244,U.S. Energy Information Administration,239.05
USA,United States of America,Baldock Solar Highway,1.7,45.2694,-122.7717,Solar,,,,2012.0,Portland General Electric Co,1.984,U.S. Energy Information Administration,1.86
USA,United States of America,Baldwin Wind LLC,102.4,47.1133,-100.7086,Wind,,,,2011.0,Baldwin Wind LLC,353.866,U.S. Energy Information Administration,369.61
USA,United States of America,Ball Mountain Hydro,2.4,43.1269,-72.7761,Hydro,,,,2016.0,Blue Heron Hydro LLC,3.265,U.S. Energy Information Administration,7.8
USA,United States of America,Bankhead Dam,53.9,33.4587,-87.3568,Hydro,,,,1963.0,Alabama Power Co,-0.284,U.S. Energy Information Administration,205.92
USA,United States of America,Bar Mills,4.0,43.6136,-70.5525,Hydro,,,,1956.0,Brookfield White Pine Hydro LLC,0.0,U.S. Energy Information Administration,15.51
USA,United States of America,Barber Dam,4.1,43.561,-116.1213,Hydro,,,,1990.0,Fulcrum Inc,13.08,U.S. Energy Information Administration,14.76
USA,United States of America,Barker Lower,1.5,44.0867,-70.2297,Hydro,,,,1986.0,KEI (Maine) Power Management (III) LLC,5.517,U.S. Energy Information Administration,5.92
USA,United States of America,Barkley,130.0,37.0217,-88.2211,Hydro,,,,1966.0,USCE-Nashville District,572.013,U.S. Energy Information Administration,512.63
USA,United States of America,Bartholomew,1.0,40.1671,-111.4995,Hydro,,,,1988.0,City of Springville - (UT),2.307,U.S. Energy Information Administration,2.52
USA,United States of America,Bartletts Ferry,173.0,32.662,-85.0916,Hydro,,,,1966.271676,Georgia Power Co,506.152,U.S. Energy Information Administration,541.79
USA,United States of America,Barton Chapel Wind Farm,120.0,33.068,-98.3377,Wind,,,,2009.0,Avangrid Renewables LLC,251.933,U.S. Energy Information Administration,338.66
USA,United States of America,Barton Windpower LLC,160.0,43.393,-93.091,Wind,,,,2009.0,Avangrid Renewables LLC,383.554,U.S. Energy Information Administration,563.18
USA,United States of America,Basalt,5.0,39.3631,-106.8219,Hydro,,,,1985.0,City of Aspen- (CO),15.951,U.S. Energy Information Administration,15.49
USA,United States of America,Bath County,2862.0,38.2089,-79.8,Hydro,,,,1986.0,Virginia Electric & Power Co,-780.339,U.S. Energy Information Administration,7163.85
USA,United States of America,Bay Windpower I,1.8,45.7644,-84.7381,Wind,,,,2002.0,Bay Windpower LLC,2.48,U.S. Energy Information Administration,4.23
USA,United States of America,Bayonne MUA- Leitner-Poma Wind Turbine,1.5,40.6528,-74.1178,Wind,,,,2012.0,SUEZ North America  Inc,1.06,U.S. Energy Information Administration,3.91
USA,United States of America,Bear Creek,3.2,40.5345,-121.9591,Hydro,,,,1990.0,CHI-West Inc,6.234,U.S. Energy Information Administration,6.65
USA,United States of America,Bear Creek Dam,9.0,35.2427,-83.072,Hydro,,,,1954.0,Duke Energy Carolinas  LLC,21.408,U.S. Energy Information Administration,23.58
USA,United States of America,Bear Swamp,600.0,42.6839,-72.9599,Hydro,,,,1974.0,Bear Swamp Power Company LLC,-163.741,U.S. Energy Information Administration,1296.59
USA,United States of America,Bear Valley,1.4,33.1662,-117.0166,Hydro,,,,1986.0,City of Escondido - (CA),3.472,U.S. Energy Information Administration,2.83
USA,United States of America,Beardslee,20.0,43.0191,-74.7413,Hydro,,,,1924.0,Erie Boulevard Hydropower LP,64.144,U.S. Energy Information Administration,63.06
USA,United States of America,Beardsley,10.0,38.2026,-120.077,Hydro,,,,1957.0,Oakdale&South San Joaquin Irrigation D.,68.189,U.S. Energy Information Administration,33.84
USA,United States of America,Beaver Dam,112.0,36.4215,-93.8474,Hydro,,,,1965.0,USCE-Little Rock District,261.746,U.S. Energy Information Administration,355.57
USA,United States of America,Beaver Falls,5.4,55.3798,-131.4703,Hydro,,,,1952.703704,Ketchikan Public Utilities,35.139,U.S. Energy Information Administration,23.1
USA,United States of America,Beaver Ridge Wind,4.5,44.4967,-69.35,Wind,,,,2008.0,Beaver Ridge Wind LLC,11.806,U.S. Energy Information Administration,13.4
USA,United States of America,Beaver Valley Patterson Dam,1.2,40.7441,-80.3178,Hydro,,,,1982.0,CHI Energy Inc,4.695,U.S. Energy Information Administration,3.85
USA,United States of America,Bed Bath & Beyond DC Port Reading NJ,1.8,40.5683,-74.2425,Solar,,,,2012.0,Bed Bath & Beyond,2.457,U.S. Energy Information Administration,2.76
USA,United States of America,Beebee Island Hydro Plant,9.0,43.9767,-75.9072,Hydro,,,,1931.0,Erie Boulevard Hydropower LP,50.626,U.S. Energy Information Administration,41.0
USA,United States of America,Beech Ridge Energy LLC,100.5,38.0878,-80.4925,Wind,,,,2010.0,Invenergy Services LLC,230.745,U.S. Energy Information Administration,260.55
USA,United States of America,Belden,117.9,40.0074,-121.2494,Hydro,,,,1969.0,Pacific Gas & Electric Co.,429.689,U.S. Energy Information Administration,359.77
USA,United States of America,Beldens,5.7,44.0525,-73.1762,Hydro,,,,1967.666667,Green Mountain Power Corp,19.615,U.S. Energy Information Administration,18.32
USA,United States of America,Belfort,2.0,43.9275,-75.3331,Hydro,,,,1914.1,Erie Boulevard Hydropower LP,14.489,U.S. Energy Information Administration,8.46
USA,United States of America,Belleville Dam,42.0,39.1192,-81.7375,Hydro,,,,1999.0,American Mun Power-Ohio  Inc,267.356,U.S. Energy Information Administration,176.58
