Cluster 1 Summary
Number of Plants: 41
Total Capacity: 452.3 MW
Average Distance to Cluster Center: 175.58 km
Closest Plant to Menomonie: "Swan Lake" (2997.2 km)
Primary Sources:
  - petroleum: 21
  - hydroelectric: 20

Plant-Level Data:
Plant_Name,PrimSource,Total_MW,Distance_km,Cluster,Dist_to_ClusterCenter
Annex Creek,hydroelectric,3.6,3203.6076214942154,1,167.59201723146387
Gold Creek,petroleum,9.7,3221.7434279072304,1,171.71619305500104
Lemon Creek,petroleum,57.5,3226.965789744594,1,177.70288447902075
Salmon Creek 1,hydroelectric,5.2,3224.655742117238,1,174.2803730539258
Skagway,petroleum,5.1,3293.1758736194156,1,308.79742828971666
Haines,petroleum,9.6,3296.5495716071337,1,289.14822997934357
Swan Lake,hydroelectric,22.6,2997.188438002396,1,191.27872870922363
Snettisham,hydroelectric,78.0,3179.4590857333687,1,145.01228204769964
Ketchikan,hydroelectric,4.2,3011.231117035874,1,203.7090807731031
S W Bailey,petroleum,23.0,3015.372874988934,1,200.2846452623506
Petersburg,petroleum,12.6,3111.9045253787503,1,34.738118494677586
Blue Lake Hydro,hydroelectric,15.9,3251.9474155761436,1,105.95878186052897
Wrangell,petroleum,12.0,3071.84154272998,1,81.87172332406098
Green Lake,hydroelectric,18.6,3244.779365000375,1,98.2837786427923
Craig (AK),petroleum,4.6,3107.836316711927,1,153.60903761008524
Hydaburg,petroleum,1.0,3084.7367416330385,1,187.24786250342058
Purple Lake,hydroelectric,3.9,3002.8287222762647,1,230.4110692341451
Beaver Falls,hydroelectric,5.4,3001.389229932583,1,206.57674676274647
Silvis,hydroelectric,2.1,3004.3916374145047,1,204.6275145042038
Pelican,hydroelectric,1.4,3321.448116097032,1,203.5275119309556
Jarvis Street,petroleum,25.1,3256.9272282430106,1,110.83924541846756
Centennial,petroleum,1.8,3004.1217865643534,1,227.0447104119158
Chester Lake,hydroelectric,1.2,3003.1619177613416,1,227.9573543036683
Auke Bay,petroleum,28.3,3236.143435918698,1,184.28830901713226
Thorne Bay Plant,petroleum,1.0,3071.188190746129,1,142.55133302700952
Angoon,petroleum,1.5,3219.1024156410253,1,97.0788936999922
Hoonah,petroleum,2.0,3277.312560982927,1,180.91831954430452
Kake,petroleum,3.1,3172.1989135813847,1,27.607106549835116
Goat Lake Hydro,hydroelectric,4.0,3289.142818101876,1,315.3648722893619
Black Bear Lake,hydroelectric,4.5,3107.7713266656856,1,153.66631804089084
False Island,petroleum,3.8,3107.0600001970993,1,152.3969672742788
Viking,petroleum,1.0,3105.5323489260795,1,147.0807874218096
South Fork,hydroelectric,1.9,3092.5211979933856,1,147.52710488658408
Kasidaya Creek Hydro,hydroelectric,3.0,3293.820841341269,1,304.44544158922025
Lake Dorothy Hydroelectric Project,hydroelectric,14.3,3199.3639143144474,1,157.75745416954769
Whitman,hydroelectric,4.8,3004.586016157747,1,208.9367647921332
Hiilangaay Hydro,hydroelectric,5.0,3071.4816605733404,1,189.43271155144555
Industrial Plant,petroleum,23.5,3233.7014634285165,1,181.45183623165698
Tyee Lake Hydroelectric Facility,hydroelectric,22.6,3014.792551873533,1,142.1271026129334
Klawock Power Generation Station,petroleum,2.5,3104.587974000062,1,145.90597420634626
Gustavus,petroleum,1.4,3297.9334276829545,1,218.2213013865233
