Cluster 2 Summary
Number of Plants: 89
Total Capacity: 2,239.2 MW
Average Distance to Cluster Center: 452.86 km
Closest Plant to Menomonie: "Northway" (3707.0 km)
Primary Sources:
  - petroleum: 56
  - natural gas: 10
  - hydroelectric: 8
  - coal: 5
  - wind: 4
  - batteries: 3
  - biomass: 1
  - other: 1
  - solar: 1

Plant-Level Data:
Plant_Name,PrimSource,Total_MW,Distance_km,Cluster,Dist_to_ClusterCenter
Terror Lake Microgrid,hydroelectric,33.6,4306.7135376375545,2,507.492269517197
Hank Nikkels Plant 1,natural gas,62.4,4105.299647407945,2,271.48180262484374
Eklutna Hydro Project,hydroelectric,44.4,4066.8926310586103,2,296.9884936429414
Aurora Energy LLC Chena,coal,25.7,4015.1817975195077,2,452.5463405382295
Snake River,petroleum,18.2,4854.854806656226,2,597.9621648255514
Seward (AK),petroleum,15.6,4085.009069372505,2,358.3647162453165
Beluga,natural gas,300.4,4168.021845792484,2,218.07426889224925
Dillingham,petroleum,11.0,4603.311302051092,2,406.0893406085713
Solomon Gulch,hydroelectric,12.0,3914.0484014776807,2,455.11113822566523
Tok,petroleum,7.9,3766.0433153972067,2,604.4531504438651
Orca,petroleum,8.7,3882.3215676622835,2,504.6385895994583
Kodiak Microgrid,petroleum,18.3,4275.872641841265,2,502.1760611415887
Port Lions Microgrid,petroleum,0.5,4301.683126251528,2,488.3803427910178
Seldovia,petroleum,2.2,4216.884277486746,2,341.7316375750729
North Pole,petroleum,145.0,3995.651712164651,2,459.8549666206446
Fairbanks,petroleum,36.1,4014.5168149684723,2,453.57148194895166
Healy,coal,77.8,4064.5268067324346,2,341.6271876866317
Cooper Lake,hydroelectric,19.4,4096.72201489289,2,329.88889178450205
Bernice Lake,natural gas,62.4,4189.375004030682,2,237.31432999266485
Unalakleet,petroleum,1.6,4643.262799154595,2,364.65753607167
Naknek,petroleum,15.9,4526.806374905243,2,404.1204909004041
Kotzebue Hybrid,petroleum,18.0,4689.549228184738,2,642.4843521620924
Glennallen,petroleum,9.0,3879.4702299678033,2,471.58150566725
Valdez,petroleum,7.5,3917.5295428756194,2,450.2912129365077
Chevak,petroleum,1.8,4930.382372878477,2,579.5593028056352
Emmonak,petroleum,3.2,4847.000267794032,2,513.6088470096357
Hooper Bay,petroleum,2.2,4956.614367651535,2,605.9868294955781
Kiana,petroleum,1.2,4595.8601428307475,2,601.5716504679007
Mountain Village,petroleum,1.8,4821.562108743602,2,473.53148071352285
Noorvik,petroleum,1.5,4623.385493848779,2,602.4516483278835
Nunapitchuk,petroleum,0.5,4781.79755555619,2,438.91992430394185
St Marys IC,petroleum,4.6,4793.851304597095,2,445.0184263370128
Selawik,petroleum,1.8,4580.0637722121155,2,557.166202940415
Shishmaref,petroleum,1.5,4851.967652259162,2,714.9510831543791
Togiak,petroleum,2.8,4710.158280880596,2,467.0638304999631
George M Sullivan Generation Plant 2,natural gas,309.3,4097.293275744479,2,278.4041372733839
Bethel,petroleum,10.5,4748.4378123561055,2,410.28929932937643
Humpback Creek,hydroelectric,1.0,3878.5055165104177,2,505.7011511326363
Northway,petroleum,0.9,3707.0341902727355,2,654.3400345026979
Aniak,petroleum,1.7,4614.46266372054,2,266.0438893139793
Newhalen,petroleum,1.7,4378.560692715597,2,252.38683771458057
Bradley Lake,hydroelectric,126.0,4170.681805077181,2,331.42303510205915
NSB Point Hope Utility,petroleum,3.1,4847.282654642018,2,885.931721399184
Nymans Plant Microgrid,petroleum,9.8,4283.1949878312835,2,507.04758330012453
Valdez Cogen,petroleum,5.1,3911.3445326970723,2,457.6342103286325
Power Creek,hydroelectric,5.6,3874.3319376687077,2,510.5255409797879
Utility Plants Section,coal,22.1,4010.862920162435,2,454.2751166326129
Eielson AFB Central Heat & Power Plant,coal,24.6,3982.0271577150043,2,466.5604342196186
University of Alaska Fairbanks,coal,35.7,4019.345026417463,2,449.75949911402313
Tesoro Kenai Cogeneration Plant,natural gas,8.4,4189.14884827138,2,238.84336102139497
Nutrien Kenai Nitrogen Operations,natural gas,12.5,4189.002112322103,2,239.26275412086622
Fort Greely Power Plant,petroleum,7.4,3908.2101251581653,2,490.4405662981628
Nikiski Combined Cycle,natural gas,75.9,4188.945548147301,2,239.0247325448276
Delta Power,petroleum,23.1,3909.0526388280473,2,492.4268043026717
Southcentral Power Project,natural gas,169.7,4107.507052157142,2,272.20746734803606
Noatak,petroleum,1.3,4699.937331321967,2,717.2821775262121
Alakanuk,petroleum,0.8,4855.202668787071,2,519.4053033426801
Upper Kalskag,petroleum,1.1,4657.904179701545,2,309.04983603022646
Stebbins,petroleum,2.0,4721.664586463914,2,417.0734216260311
Scammon Bay,petroleum,1.3,4921.883197556884,2,572.8651526993366
Quinhagak,petroleum,1.3,4778.7183034452,2,476.64005330370236
Pilot Station,petroleum,1.3,4781.298114345387,2,431.2645153751519
Koyuk,petroleum,1.1,4647.781084287023,2,446.547458920804
Elim,petroleum,1.1,4703.536218860766,2,467.7280359498946
St. Michael,petroleum,0.7,4710.217155500331,2,403.8774291164293
Shungnak,petroleum,1.2,4452.964111804037,2,538.414074163761
Kotlik,petroleum,1.6,4793.050072032088,2,466.9755001280079
Kivalina,petroleum,1.1,4764.504008551531,2,772.8917933354153
Kasigluk,petroleum,2.0,4785.484375987743,2,442.88203251860585
Toksook Bay,petroleum,2.1,4931.294070678071,2,587.6350203816152
Pillar Mountain Wind Project Microgrid,wind,9.0,4278.480214081598,2,501.9195830479539
Soldotna,natural gas,90.5,4169.197392684608,2,267.6346497017988
Battery Energy Storage System,batteries,40.0,4014.354947368367,2,450.80602402494486
Eva Creek Wind,wind,24.6,4063.4979903999497,2,355.77989494171277
JBER Landfill Gas Power Plant,biomass,7.0,4091.50593276892,2,281.1591417786048
ESS Battery Microgrid,batteries,3.0,4276.162102717824,2,501.0815006724981
Fire Island Wind,wind,18.0,4125.744630865646,2,257.9903796761171
Delta Wind Farm,wind,1.9,3902.9285640324147,2,497.47510693807
Allison Creek Hydro,hydroelectric,6.5,3916.743195704948,2,452.5083797807709
Eklutna Generation Station,natural gas,165.0,4077.5877624093555,2,287.40501350023396
Ambler,petroleum,1.1,4483.896394965328,2,568.2340517237974
Marshall,petroleum,1.1,4741.52724678867,2,390.8163359933807
New Stuyahok,petroleum,1.3,4531.539153389288,2,336.23950076834285
