Cluster 7 Summary
Number of Plants: 62
Total Capacity: 5,988.4 MW
Average Distance to Cluster Center: 45.08 km
Closest Plant to Menomonie: "USCG Puerto Rico PV" (3724.1 km)
Primary Sources:
  - petroleum: 28
  - solar: 16
  - hydroelectric: 7
  - natural gas: 6
  - wind: 2
  - biomass: 2
  - coal: 1

Plant-Level Data:
Plant_Name,PrimSource,Total_MW,Distance_km,Cluster,Dist_to_ClusterCenter
Pattern Santa Isabel LLC,wind,75.0,3815.4357460853207,7,35.62802314962826
EcoElectrica,natural gas,580.0,3793.8926591486947,7,62.13647426324549
AES ILUMINA,solar,15.0,3831.1502614957453,7,35.93607533036815
Coto Laurel Solar Farm,solar,10.0,3798.1814759386375,7,39.109144445248766
Martino,solar,3.6,3796.833689890577,7,41.8037179791318
Pfizer Guayama,solar,2.7,3830.291564644426,7,34.55265019023279
Pfizer Vega Baja,solar,3.1,3773.2630892610196,7,23.87834820542639
AES Puerto Rico,coal,454.4,3831.7054192413666,7,36.23425819553958
Oriana Energy Hybrid,solar,66.8,3731.055134578958,7,87.7964069543417
GASNA 18P, LLC,solar,5.0,3787.9514138220043,7,26.91335461220376
Fajardo MSWL,biomass,2.4,3826.690857060514,7,59.73351304084103
San Fermin Solar Farm Hybrid,solar,27.6,3802.7626145711033,7,39.78311680301652
El Yunque Filtration Plant,solar,2.0,3810.9982473028813,7,47.06716857038215
Arecibo Filtration Plant,solar,1.0,3759.246887421749,7,44.80476673142706
Canovanas Filtration Plant,solar,1.0,3807.4061244890613,7,40.8386789257237
Toa Baja MSWL,biomass,2.4,3784.482928939935,7,18.627250245542225
Punta Lima Wind Farm,wind,26.0,3835.514524462134,7,58.685319486487714
Humacao Solar Project, LLC,solar,20.0,3833.2270952869494,7,46.86460779612651
Horizon Energy (PR) Hybrid,solar,15.1,3824.6408882148844,7,31.325126889145007
Medtronic Solar,solar,4.0,3818.5951583899855,7,35.402182880749365
Aguirre Plant,petroleum,1461.2,3826.6712823047715,7,34.575053862036505
Costa Sur Plant,natural gas,966.5,3791.588385637581,7,61.35094863638767
Central San Juan Plant,petroleum,783.9,3789.6724079374394,7,23.83926228340316
Palo Seco Plant,petroleum,561.9,3784.4494507779314,7,24.098762668437782
Cambalache Plant,petroleum,241.5,3751.392436788628,7,53.06459676665915
Mayaguez Plant,petroleum,220.0,3748.7167193862856,7,96.55920990001597
Jobos,petroleum,42.0,3831.0668528348674,7,35.165443339940445
Caonillas,hydroelectric,22.0,3771.852190170498,7,43.341994987792354
Culebra,petroleum,2.1,3848.2058444401014,7,102.22210002653854
Daguao,petroleum,42.0,3832.9352596739723,7,61.339515488642334
Dos Bocas,hydroelectric,15.0,3765.616773837245,7,45.27265026428809
Garzas,hydroelectric,12.2,3786.688478951477,7,55.19409687160543
Patillas,hydroelectric,1.4,3832.748559134322,7,36.12037585793453
Toro Negro,hydroelectric,8.5,3795.049299843503,7,29.278658394053465
Vega Baja,petroleum,42.0,3771.3235417283418,7,25.73909225661734
Vieques,petroleum,6.4,3854.384468180644,7,86.82120882572345
Yabucoa,petroleum,42.0,3838.940485179944,7,46.78730032637543
Yauco,hydroelectric,34.0,3775.1847677503674,7,68.09248227731932
Rio Blanco,hydroelectric,5.0,3822.5066844093776,7,47.7283473522336
Fort Buchanan Distributed Generation,solar,6.4,3790.735220041392,7,21.446473094714236
USCG Puerto Rico PV,solar,1.7,3724.1235933769995,7,97.0265791490229
Holsum de Puerto Rico, Inc.,petroleum,4.0,3783.762854730373,7,16.636872277375645
Janssen Ortho LLC,petroleum,18.7,3815.6997796081223,7,31.475642525658863
HIMA San Pablo - Caguas,petroleum,9.0,3812.928817483038,7,22.412675044885766
Cervecera de Puerto Rico,petroleum,3.7,3750.783988826124,7,94.78059639413969
HIMA San Pablo Bayamon,petroleum,4.5,3789.864768923649,7,18.594422508685252
HIMA San Pablo Fajardo,petroleum,3.0,3824.317145795716,7,62.993661791747684
HIMA San Pablo Cupey,petroleum,1.2,3798.096930681001,7,24.501233668842424
HIMA San Pablo Humacao,petroleum,1.6,3831.4707421798184,7,45.91577417581942
Eaton Corp - Arecibo - Puerto Rico Hybrid,petroleum,8.2,3750.0214092439005,7,55.4217706769247
Neolpharma CHP LLC,natural gas,3.3,3811.7589199356526,7,24.015659841788363
Hospital Auxilio Mutuo,petroleum,6.0,3794.4884576890286,7,26.42848818715199
iPR Pharmaceuticals Inc.,natural gas,3.2,3806.468831685319,7,40.82183440713448
AbbVie LTD,natural gas,30.6,3762.439512764854,7,38.9310218517492
Bayamon Medical Center,petroleum,2.8,3789.062272122609,7,17.568642065870282
Puerto Rico Women's & Children's Hosp,petroleum,2.0,3789.0535963357693,7,17.5247084074278
Caribbean Medical Center,petroleum,1.3,3824.9847581374,7,63.41079897035407
Bacardi Catano Plant,petroleum,8.4,3784.9004118315565,7,24.142192592951762
Mayaguez Medical Center,petroleum,4.1,3752.7560908577843,7,96.24016919749528
Hewlett Packard Puerto Rico,natural gas,6.0,3726.4794757636664,7,94.48092745529087
Manati Medical Center,petroleum,2.4,3794.690881307104,7,4.17962848691794
Lilly del Caribe PR01,petroleum,29.6,3802.8600168788857,7,32.42016633925656
