Cluster 0 Summary
Number of Plants: 12513
Total Capacity: 1,196,634.6 MW
Average Distance to Cluster Center: 1378.39 km
Closest Plant to Menomonie: "Menomonie" (1.2 km)
Primary Sources:
  - solar: 5783
  - natural gas: 1963
  - hydroelectric: 1359
  - wind: 1323
  - petroleum: 759
  - biomass: 603
  - batteries: 294
  - coal: 200
  - other: 74
  - geothermal: 66
  - nuclear: 54
  - pumped storage: 35

Plant-Level Data:
Plant_Name,PrimSource,Total_MW,Distance_km,Cluster,Dist_to_ClusterCenter
Bankhead Dam,hydroelectric,53.0,1328.4464518662944,0,741.8457897325408
Barry,natural gas,3099.7,1579.241666523064,0,949.4919331584568
Walter Bouldin Dam,hydroelectric,224.1,1450.628837784976,0,879.5565639964907
Copper,natural gas,63.0,1922.2683281965326,0,1488.967306550968
Greene County,natural gas,1256.1,1410.673855591227,0,800.5160359640099
H Neely Henry Dam,hydroelectric,71.1,1331.5758073018671,0,791.5489778551961
Holt Dam,hydroelectric,48.0,1347.9309725306691,0,755.3819035495605
Jordan Dam,hydroelectric,129.2,1447.7457581307128,0,878.0438791462748
Logan Martin Dam,hydroelectric,129.0,1360.213750909726,0,803.342038307969
Lay Dam,hydroelectric,180.0,1403.7157875186135,0,832.636655970012
Martin Dam,hydroelectric,182.1,1451.5354844307299,0,892.4691981422557
Mitchell Dam,hydroelectric,163.1,1422.4731188352516,0,850.7180531695602
Lewis Smith Dam,hydroelectric,178.0,1283.6319989445087,0,713.6271585597386
Thurlow Dam,hydroelectric,79.9,1467.496918120679,0,906.4550178231253
Weiss Dam,hydroelectric,81.0,1301.3673823424774,0,780.992804276273
Yates Dam,hydroelectric,44.0,1463.3362440819214,0,902.9251459184015
E C Gaston,natural gas,1868.0,1375.769024031785,0,811.6539398229961
Madelia,petroleum,10.6,218.47347865423907,0,611.9804876126927
Rollins,hydroelectric,12.1,2467.9014192019163,0,2462.0578170658923
Millers Ferry,hydroelectric,90.0,1473.2947384601166,0,866.6454837021396
Browns Ferry,nuclear,3661.7,1202.4924545124736,0,649.8900311015551
Colbert,natural gas,1026.2,1178.6027098374716,0,601.4970280405972
Guntersville,hydroelectric,122.7,1254.24752595169,0,719.2043021020468
Wheeler Dam,hydroelectric,398.2,1184.191999153109,0,624.9646587599325
Gantt,hydroelectric,2.8,1570.8046902997955,0,977.7894344016757
J K Smith,natural gas,784.0,1013.8602778567569,0,727.4314658297666
Point A,hydroelectric,5.4,1574.3025283378515,0,979.8697813079508
Lowman Energy Center,natural gas,658.9,1528.7710455751082,0,904.6918507326412
Platte,coal,100.0,688.3889428368474,0,561.0559795292266
Whelan Energy Center,coal,296.0,707.2116114514158,0,547.2628528154506
Venice Hydro,hydroelectric,10.1,2559.653695110499,0,2382.2374966446464
Ashokan,hydroelectric,3.6,1464.122470783027,0,1575.7937657252626
Frederickson,natural gas,134.0,2350.368511899496,0,2592.1840291299523
South Consolidated,hydroelectric,1.4,2121.3585677781416,0,1836.4006849107493
J S Eastwood,pumped storage,199.8,2435.176298894096,0,2355.8744509519297
Holcomb,coal,358.9,1078.7039417315148,0,755.8340510260736
Cholla,coal,383.0,1910.933207692718,0,1648.5486864120353
Douglas,petroleum,15.0,2144.355568150625,0,1763.356882431796
Ocotillo,natural gas,605.0,2133.630194617629,0,1849.502396935019
West Phoenix,natural gas,909.0,2149.0672246293157,0,1869.4551014037384
Saguaro,natural gas,179.1,2159.3445706064044,0,1840.3081050550716
Yucca,natural gas,329.4,2379.9170003998092,0,2119.0715287451176
Demoss Petrie,natural gas,75.0,2162.806608152852,0,1830.3687524936506
H Wilson Sundt Generating Station,natural gas,490.0,2164.490991490927,0,1828.0736675724581
Cross,coal,2330.0,1631.4589456964977,0,1252.5482843853295
Seminole (FL),natural gas,1738.0,1910.1749049909688,0,1405.8549405519882
Agua Fria,natural gas,750.2,2144.470172136785,0,1869.1282259134616
Crosscut,hydroelectric,3.0,2134.6802146119394,0,1851.59442483797
Horse Mesa,pumped storage,150.0,2082.206263416724,0,1793.785752109401
Kyrene,natural gas,525.0,2140.241853087191,0,1854.5295321583915
Mormon Flat,pumped storage,68.8,2091.7483030869375,0,1803.8512538374416
Roosevelt,hydroelectric,34.8,2063.752337384917,0,1774.736208343769
Stewart Mountain,hydroelectric,13.0,2097.1349113855845,0,1811.1375384089004
McClure,natural gas,107.0,2539.7415446039277,0,2489.1741772969444
Davis Dam,hydroelectric,254.8,2197.541695615295,0,2006.4818351688216
Glen Canyon Dam,hydroelectric,1312.0,1859.3622731903702,0,1687.5811744070247
Hoover Dam (NV),hydroelectric,1039.4,2157.461609088892,0,1994.7363845727168
Lake Creek Dam,hydroelectric,1.0,1653.7127683272572,0,1630.6280451781715
Apache Station,natural gas,548.5,2107.5485321936326,0,1750.5599203234333
Turlock Lake,hydroelectric,3.3,2514.4265234109957,0,2460.547560513406
Hickman,hydroelectric,1.0,2525.713851611831,0,2473.3893059492443
GREC,natural gas,973.2,1006.6221631674691,0,385.2532998402492
Carpenter,hydroelectric,60.9,1163.9281875975091,0,484.23229833578773
Lake Catherine,natural gas,522.0,1164.067692733794,0,483.9681494173768
Osceola (AR),petroleum,1.6,1032.91548762505,0,401.0117660641084
Remmel,hydroelectric,11.6,1164.7671707785364,0,484.6374607732178
Volta 2,hydroelectric,0.9,2482.403552867098,0,2521.916829611716
Beaver Dam,hydroelectric,128.8,953.9293190860677,0,291.38667425892953
Degray,hydroelectric,70.0,1190.0936308154955,0,510.63181423602526
Greers Ferry Lake,hydroelectric,90.0,1040.2276042347023,0,362.2660570233246
Municipal Light,petroleum,7.2,955.2037810887069,0,326.9768075167936
Narrows (AR),hydroelectric,29.1,1202.6165366325301,0,527.2934107624878
Norfork,hydroelectric,80.0,959.5934470105373,0,279.99316283955403
Blakely Mountain,hydroelectric,75.0,1150.945803650719,0,472.15616540738984
Bull Shoals,hydroelectric,370.0,948.1054932270883,0,267.6807614270597
Dardanelle,hydroelectric,140.0,1075.503025069988,0,397.2459463482982
Thomas Fitzhugh,natural gas,162.0,1058.7967018208144,0,388.7224237316002
Carl Bailey,natural gas,122.0,1070.223540557117,0,399.7962485606617
McClellan (AR),natural gas,134.0,1259.9152068058274,0,579.499577449367
Clinton Power Station,nuclear,1050.2,580.8190090383981,0,341.24082965687944
Wolf Creek Generating Station,nuclear,1176.7,801.5962167150742,0,294.9447820573405
Alta Powerhouse,hydroelectric,1.0,2452.391268333545,0,2448.0016684140755
Angels,hydroelectric,0.7,2486.6008759440647,0,2445.853207938814
Balch 1,hydroelectric,31.0,2435.216671892706,0,2347.197808239405
Balch 2,hydroelectric,105.0,2435.217362064185,0,2347.1901570978334
Belden,hydroelectric,125.0,2452.579582934762,0,2475.1310542533784
Bucks Creek,hydroelectric,65.0,2462.866055162001,0,2482.941556216877
Butt Valley,hydroelectric,41.0,2440.8734903117434,0,2468.2207527622904
Caribou 1,hydroelectric,75.0,2441.313879389819,0,2465.650976388094
Caribou 2,hydroelectric,120.0,2441.381067726294,0,2465.740781446939
Centerville PH,hydroelectric,6.4,2494.056653216427,0,2512.4645739787175
Chili Bar,hydroelectric,7.0,2473.844851886414,0,2456.095031475847
Coleman PH,hydroelectric,13.0,2504.790896006928,0,2544.305754327187
Cow Creek,hydroelectric,1.8,2490.1236369879534,0,2534.0682517007267
Cresta,hydroelectric,70.0,2472.960331329291,0,2490.968523341266
De Sabla,hydroelectric,18.5,2488.580615712142,0,2509.244009075364
Deer Creek PH,hydroelectric,5.7,2451.8537124378686,0,2450.235551459604
Drum 1,hydroelectric,54.0,2447.688913874759,0,2444.299039496271
Drum 2,hydroelectric,49.5,2447.634743132911,0,2444.2579149248395
Dutch Flat,hydroelectric,22.0,2454.8613761172596,0,2450.7199258056685
El Dorado,hydroelectric,20.8,2457.594804012602,0,2439.0991654594613
Electra,hydroelectric,98.0,2483.92020917964,0,2451.904349989324
Haas,hydroelectric,144.0,2429.002344618252,0,2340.8946046206506
Halsey,hydroelectric,11.0,2483.068993188835,0,2472.505428120076
