Cluster 3 Summary
Number of Plants: 71
Total Capacity: 3,367.0 MW
Average Distance to Cluster Center: 141.16 km
Closest Plant to Menomonie: "Hana Substation" (6374.6 km)
Primary Sources:
  - solar: 30
  - petroleum: 18
  - hydroelectric: 8
  - wind: 8
  - biomass: 4
  - geothermal: 1
  - other: 1
  - batteries: 1

Plant-Level Data:
Plant_Name,PrimSource,Total_MW,Distance_km,Cluster,Dist_to_ClusterCenter
Kahe,petroleum,582.1,6499.831570823967,3,68.75174764241794
Waiau,petroleum,456.6,6484.294448663579,3,55.37586962602205
Waimea,petroleum,7.5,6404.9377193972805,3,224.94405699783638
Kanoelehua,petroleum,20.0,6378.629857356024,3,299.9332565849007
Puueo,hydroelectric,3.1,6379.296913616649,3,296.17482413111026
W H Hill,petroleum,35.5,6378.569198553828,3,300.1578452727439
Waiau Hydro,hydroelectric,1.0,6381.953391410189,3,294.03124382562044
Palaau Power Hybrid,petroleum,16.0,6434.083361044389,3,47.572222959201554
Kahului,petroleum,32.4,6401.817352911153,3,112.48306914078321
Port Allen (HI),petroleum,80.1,6575.477510066059,3,230.91297973677203
Maalaea,petroleum,197.9,6411.146725755443,3,112.16520510014847
Puna,petroleum,34.0,6381.586361488159,3,307.05507755902954
Miki Basin,petroleum,10.2,6446.703515523834,3,70.44078541239664
Keahole,petroleum,79.0,6452.619661573563,3,218.0735555224377
Tesoro Hawaii,petroleum,20.0,6500.72070035307,3,62.924510865950865
Hawaii Cogen,petroleum,12.8,6501.880567685562,3,65.4316345554878
H Power,biomass,88.7,6501.51671938788,3,63.49936590504203
Kalaheo Hydro,hydroelectric,2.0,6568.409832554837,3,227.12678160323136
Wainiha Hydro,hydroelectric,3.4,6551.928928923227,3,242.66897451264563
Gay Robinson,hydroelectric,8.3,6577.664448584787,3,235.91517349121617
Puna Geothermal Venture I,geothermal,43.0,6381.5845834466445,3,328.8827734610271
Kalaeloa Cogen Plant,petroleum,220.0,6501.18628760201,3,63.354993840593096
Wailuku River Hydroelectric,hydroelectric,9.8,6384.821890718746,3,291.8357566096538
Hamakua Energy Plant,petroleum,60.8,6382.261442145877,3,241.33237426412924
Kaheka Hydro,hydroelectric,4.5,6394.08740838073,3,123.43208036311879
Hana Substation,petroleum,2.0,6374.593149397181,3,163.0015883333082
Kapaia Power Station,other,27.5,6552.041458733555,3,215.75900068837973
Campbell Industrial Park,petroleum,113.0,6501.5793122392915,3,63.89027111077937
Pakini Nui Wind Farm,wind,21.0,6481.908923674555,3,304.47199734367956
Hawi Wind Farm,wind,10.6,6400.160679755297,3,197.87023679072055
Kaheawa Pastures Wind Farm Hybrid,wind,30.0,6414.7688871490545,3,105.9797248163911
Lanai Solar-Electric Plant,solar,1.2,6447.536328217477,3,72.73204687684401
Kaheawa Wind Power II LLC,wind,31.0,6415.006015909167,3,108.14240538599252
Kahuku Wind Power LLC,wind,30.0,6464.324965820379,3,79.38640140513118
Mililani South Solar Farm,solar,78.0,6486.083782925086,3,62.80446494760462
Kapaa Photovoltaic Project,solar,1.0,6542.539034818213,3,216.19607153146103
Kawailoa Wind,wind,69.0,6474.599070396041,3,77.7231401017792
Auwahi Wind Energy Hybrid,wind,35.0,6412.278492480936,3,137.3967101393008
Kalaeloa Solar Two,solar,5.0,6499.155950328444,3,63.17052556943893
Paia Hydroelectric Plant,hydroelectric,1.3,6392.721268234405,3,125.41906510489878
Lanikuhana Solar LLC,solar,14.7,6486.323518839138,3,63.173736795580346
HNL Emergency Power Facility,biomass,10.0,6484.775163063659,3,48.51372174610202
Port Allen Solar,solar,6.0,6575.0421095047805,3,230.6897261645746
KRS I Anahola Solar Hybrid,solar,12.0,6536.6183101984225,3,216.57270814690378
KRS II Koloa Solar,solar,12.0,6564.748394228067,3,218.12945868562497
Kalaeloa Renewable Energy Park,solar,5.0,6494.875577956751,3,59.0693436259821
Waihonu North Solar,solar,5.0,6482.496245202723,3,65.10422267386485
Waihonu South Solar,solar,1.5,6482.8571975906825,3,65.23625455654431
Aloha Solar Energy Fund 1 PK1,solar,5.0,6497.960781339236,3,73.28724774340961
Mauka FIT One,solar,3.5,6465.1588904627815,3,79.85516848841638
Pearl City Peninsula Solar Park,solar,1.0,6485.779231452101,3,55.10189830597215
Kapolei Solar Energy Park,solar,1.0,6501.483392640078,3,66.1559968574189
Na Pua Makani Wind Project,wind,27.6,6464.939961208315,3,77.82412041181605
Biomass to Energy Facility, Kauai,biomass,8.5,6560.954965076419,3,222.08136054074714
Waipio Solar,solar,45.9,6481.076608907881,3,61.565999155801904
